1.634704853965260e-001,	5.721838e-001,
1.639157049590458e-001,	3.299617e-001,
1.644039862090458e-001,	3.500615e-002,
1.648764996948214e-001,	-2.537810e-001,
1.653161976409225e-001,	-5.023893e-001,
1.658044788909225e-001,	-7.336010e-001,
1.662478447086661e-001,	-8.897095e-001,
1.665991423519687e-001,	-9.710798e-001,
1.667562669412631e-001,	-9.909137e-001,
1.669343111546280e-001,	-9.977784e-001,
1.671410112461863e-001,	-9.899943e-001,
1.673632882341163e-001,	-9.605831e-001,
1.677236884427754e-001,	-8.705330e-001,
1.682119696927754e-001,	-6.877935e-001,
1.686533653137879e-001,	-4.710258e-001,
1.691018389191784e-001,	-2.123375e-001,
1.695901201691784e-001,	8.696926e-002,
1.700336328904580e-001,	3.521617e-001,
1.705049035078669e-001,	6.042543e-001,
1.709429852878555e-001,	7.922135e-001,
1.713866890608572e-001,	9.294259e-001,
1.716222137825328e-001,	9.760773e-001,
1.717732652758215e-001,	9.914162e-001,
1.719607695485955e-001,	9.964296e-001,
1.721424861214728e-001,	9.876879e-001,
1.723740466489095e-001,	9.545544e-001,
1.727492244453300e-001,	8.572530e-001,
1.732375056953300e-001,	6.697745e-001,
1.736798416892036e-001,	4.489123e-001,
1.741380994276178e-001,	1.826276e-001,
1.746263806776178e-001,	-1.164545e-001,
1.750686887958844e-001,	-3.781025e-001,
1.755569700458844e-001,	-6.314549e-001,
1.760452512958844e-001,	-8.283565e-001,
1.764851718882695e-001,	-9.512030e-001,
1.766641772685800e-001,	-9.808387e-001,
1.768286291701296e-001,	-9.933511e-001,
1.769788193859015e-001,	-9.949966e-001,
1.771408152387055e-001,	-9.852591e-001,
1.773796837332166e-001,	-9.492359e-001,
1.777664628330024e-001,	-8.463570e-001,
1.782547440830024e-001,	-6.555822e-001,
1.786977704316904e-001,	-4.318201e-001,
1.791718229030406e-001,	-1.550680e-001,
1.796601041530406e-001,	1.433636e-001,
1.801026009327668e-001,	4.025297e-001,
1.805908821827668e-001,	6.525841e-001,
1.810298645080408e-001,	8.268712e-001,
1.814733304844845e-001,	9.491520e-001,
1.816519542010106e-001,	9.787431e-001,
1.818166313916967e-001,	9.912493e-001,
1.819683250031843e-001,	9.929171e-001,
1.821285298832326e-001,	9.833079e-001,
1.823680614761190e-001,	9.472299e-001,
1.827558918095947e-001,	8.442517e-001,
1.832441730595947e-001,	6.537784e-001,
1.836873080220141e-001,	4.304004e-001,
1.841565315857229e-001,	1.570662e-001,
1.846448128357229e-001,	-1.407880e-001,
1.850865947411857e-001,	-3.991689e-001,
1.855748759911857e-001,	-6.491041e-001,
1.860139402748169e-001,	-8.235815e-001,
1.864574962961496e-001,	-9.462339e-001,
1.866367519516045e-001,	-9.761279e-001,
1.868010563539370e-001,	-9.888507e-001,
1.869510506308172e-001,	-9.907315e-001,
1.871137242373104e-001,	-9.812572e-001,
1.873523417765649e-001,	-9.458028e-001,
1.877387229651558e-001,	-8.440311e-001,
1.882270042151558e-001,	-6.547015e-001,
1.886701039460930e-001,	-4.323188e-001,
1.891422722358965e-001,	-1.581331e-001,
1.896305534858965e-001,	1.389991e-001,
1.900730487668519e-001,	3.973118e-001,
1.905613300168519e-001,	6.468804e-001,
1.910003441269505e-001,	8.211783e-001,
1.914438534032981e-001,	9.438204e-001,
1.916231847191455e-001,	9.737825e-001,
1.917874445676111e-001,	9.865850e-001,
1.919377365742828e-001,	9.885634e-001,
1.921003907436678e-001,	9.792131e-001,
1.923390154801593e-001,	9.439746e-001,
1.927254080810694e-001,	8.426325e-001,
1.932136893310694e-001,	6.539448e-001,
1.936568054308922e-001,	4.322643e-001,
1.941235737306055e-001,	1.619771e-001,
1.946118549806055e-001,	-1.345531e-001,
1.950537332159970e-001,	-3.922648e-001,
1.955420144659970e-001,	-6.420068e-001,
1.959811637834167e-001,	-8.168872e-001,
1.964248160169356e-001,	-9.403307e-001,
1.966055944102414e-001,	-9.709156e-001,
1.967688672734361e-001,	-9.837714e-001,
1.969347735933159e-001,	-9.859590e-001,
1.970909048774497e-001,	-9.768527e-001,
1.973319444306397e-001,	-9.407607e-001,
1.977221644869972e-001,	-8.378122e-001,
1.982104457369972e-001,	-6.484364e-001,
1.986537363865194e-001,	-4.262038e-001,
1.991293962947658e-001,	-1.507746e-001,
1.996176775447658e-001,	1.450077e-001,
2.000601273086745e-001,	4.016225e-001,
2.005484085586745e-001,	6.489745e-001,
2.009871208458618e-001,	8.210139e-001,
2.014303274884424e-001,	9.415439e-001,
2.016063218817448e-001,	9.702044e-001,
2.017725627665871e-001,	9.820552e-001,
2.019516925850156e-001,	9.827935e-001,
2.021137756517651e-001,	9.712104e-001,
2.023774486363051e-001,	9.266027e-001,
2.028033788681603e-001,	8.045471e-001,
2.032916601181603e-001,	6.040155e-001,
2.037361896375683e-001,	3.730375e-001,
2.042244708875683e-001,	8.619477e-002,
2.047127521375683e-001,	-2.083291e-001,
2.051527366951096e-001,	-4.573867e-001,
2.056410179451096e-001,	-6.923833e-001,
2.060956630156315e-001,	-8.571957e-001,
2.064836951445905e-001,	-9.512177e-001,
2.066429737597994e-001,	-9.727625e-001,
2.068196203956255e-001,	-9.807788e-001,
2.070312946514203e-001,	-9.744366e-001,
2.072517187415201e-001,	-9.472965e-001,
2.076091643385600e-001,	-8.617707e-001,
2.080974455885600e-001,	-6.849536e-001,
2.085389197451288e-001,	-4.738340e-001,
2.089860400805486e-001,	-2.214584e-001,
2.094743213305486e-001,	7.256472e-002,
2.099188287718801e-001,	3.348335e-001,
2.103809491230609e-001,	5.801122e-001,
2.108186745915498e-001,	7.680601e-001,
2.112619345363215e-001,	9.067093e-001,
2.115087177773494e-001,	9.569580e-001,
2.116585197975850e-001,	9.732388e-001,
2.118414076963386e-001,	9.794525e-001,
2.120310370731664e-001,	9.719514e-001,
2.122596609684008e-001,	9.415964e-001,
2.126301689628369e-001,	8.497982e-001,
2.131184502128369e-001,	6.687623e-001,
2.135606480086721e-001,	4.541456e-001,
2.140109309319887e-001,	1.983593e-001,
2.144992121819887e-001,	-9.553352e-002,
2.149418965900251e-001,	-3.545032e-001,
2.154201126600108e-001,	-6.036315e-001,
2.158586372596124e-001,	-7.855960e-001,
2.163017992488908e-001,	-9.175099e-001,
2.165152605819836e-001,	-9.579805e-001,
2.166695339521896e-001,	-9.731408e-001,
2.168385236480209e-001,	-9.779170e-001,
2.170215846932878e-001,	-9.698963e-001,
2.172526464604031e-001,	-9.386152e-001,
2.176270314488237e-001,	-8.450630e-001,
2.181153126988237e-001,	-6.630489e-001,
2.185576651998107e-001,	-4.476026e-001,
2.190182009245398e-001,	-1.857089e-001,
2.195064821745398e-001,	1.076750e-001,
2.199498908495817e-001,	3.655923e-001,
2.204354656640773e-001,	6.156799e-001,
2.208747194798626e-001,	7.942569e-001,
2.213185253356447e-001,	9.225457e-001,
2.215131208939028e-001,	9.578992e-001,
2.216701312811045e-001,	9.724556e-001,
2.218282862632330e-001,	9.764929e-001,
2.220093957762506e-001,	9.682486e-001,
