2.784220371188717e-002,	2.475924e-003,
2.787831788881149e-002,	2.562737e-003,
2.790440667293482e-002,	2.627463e-003,
2.792385545258916e-002,	2.676986e-003,
2.794651772203871e-002,	2.736064e-003,
2.797175216230987e-002,	2.803416e-003,
2.800006039567109e-002,	2.881139e-003,
2.804595100937775e-002,	3.011514e-003,
2.811874197782858e-002,	3.225284e-003,
2.819891403808926e-002,	3.465123e-003,
2.829899486559529e-002,	3.758782e-003,
2.841286309135631e-002,	4.073550e-003,
2.846764611166902e-002,	4.211600e-003,
2.850460887082902e-002,	4.295879e-003,
2.853123242656558e-002,	4.352055e-003,
2.855105040508724e-002,	4.391132e-003,
2.857347076299860e-002,	4.432484e-003,
2.859956190215246e-002,	4.477195e-003,
2.862755132938872e-002,	4.520557e-003,
2.867293390036008e-002,	4.581796e-003,
2.872561691993877e-002,	4.640100e-003,
2.879904432477265e-002,	4.701863e-003,
2.887724015457727e-002,	4.748735e-003,
2.897660540253148e-002,	4.791518e-003,
2.905816305220384e-002,	4.821314e-003,
2.910707151605418e-002,	4.839571e-003,
2.914080081846026e-002,	4.853596e-003,
2.916536409806644e-002,	4.864880e-003,
2.918467668309047e-002,	4.874532e-003,
2.920864029425236e-002,	4.887408e-003,
2.923043056836432e-002,	4.899992e-003,
2.926001726297351e-002,	4.918552e-003,
2.930794108742933e-002,	4.951413e-003,
2.938404909329190e-002,	5.007123e-003,
2.948022131141845e-002,	5.075519e-003,
2.958879059493455e-002,	5.138102e-003,
2.967555498394654e-002,	5.167550e-003,
2.972820628955758e-002,	5.170804e-003,
2.976401354525017e-002,	5.164348e-003,
2.978990787682659e-002,	5.155043e-003,
2.980922199774282e-002,	5.145296e-003,
2.983197321748177e-002,	5.130796e-003,
2.985689394533300e-002,	5.111503e-003,
2.988531882988295e-002,	5.084574e-003,
2.993139523609488e-002,	5.031382e-003,
2.998281707056798e-002,	4.960123e-003,
3.003669262312514e-002,	4.871912e-003,
3.010673595556123e-002,	4.741007e-003,
3.018675488337835e-002,	4.577237e-003,
3.029132270248554e-002,	4.353554e-003,
3.034843843380517e-002,	4.231150e-003,
3.038664390823493e-002,	4.150995e-003,
3.041824517011705e-002,	4.086433e-003,
3.043755466304159e-002,	4.047969e-003,
3.046030894661448e-002,	4.003748e-003,
3.048521888097959e-002,	3.956547e-003,
3.051364777815981e-002,	3.904417e-003,
3.055973057439797e-002,	3.823473e-003,
3.063311075999025e-002,	3.700259e-003,
3.073379477505062e-002,	3.534140e-003,
3.084094342993755e-002,	3.349810e-003,
3.092570262692626e-002,	3.188808e-003,
3.098838871191706e-002,	3.055543e-003,
3.102316440670993e-002,	2.974400e-003,
3.104840114073562e-002,	2.911516e-003,
3.106725825800293e-002,	2.862260e-003,
3.109031417381188e-002,	2.799517e-003,
3.111416535571435e-002,	2.731903e-003,
3.114298760586045e-002,	2.646048e-003,
3.118969649404142e-002,	2.498954e-003,
3.124229673972173e-002,	2.323626e-003,
3.129296632032423e-002,	2.145591e-003,
3.134460602992541e-002,	1.956535e-003,
3.139955782466486e-002,	1.749851e-003,
3.146439138293054e-002,	1.503334e-003,
3.153464086476501e-002,	1.238736e-003,
3.161360659222812e-002,	9.484770e-004,
3.165035981186087e-002,	8.177569e-004,
3.167588979939326e-002,	7.297900e-004,
3.169495102337661e-002,	6.657053e-004,
3.171787032142572e-002,	5.904160e-004,
3.174220010568728e-002,	5.124704e-004,
3.177084460352483e-002,	4.236826e-004,
